_raw,_time,host,source,sourcetype,index,,
"{""device"": ""AP07-15.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 0.0}",2019-01-17T06:26:27.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP07-15.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 9.8}",2019-01-17T06:26:27.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP09-16.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:26.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP09-01.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 10.0}",2019-01-17T06:26:26.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP03-09.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 0.0}",2019-01-17T06:26:25.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP03-09.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 7.84}",2019-01-17T06:26:25.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP08-13.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 0.0}",2019-01-17T06:26:24.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP04-16.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 10.0}",2019-01-17T06:26:24.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP07-19.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:24.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP12-12.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:24.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP12-12.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 7.84}",2019-01-17T06:26:24.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP13-08.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:24.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP13-08.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 8.63}",2019-01-17T06:26:24.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP11-11.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 14.9}",2019-01-17T06:26:24.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP15-15.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:23.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP02-18.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:23.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP02-18.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 7.84}",2019-01-17T06:26:23.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP06-12.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 8.63}",2019-01-17T06:26:23.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP07-16.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 0.0}",2019-01-17T06:26:23.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP18-09.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 0.0}",2019-01-17T06:26:23.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP07-13.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 0.0}",2019-01-17T06:26:23.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP07-13.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 10.98}",2019-01-17T06:26:23.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP04-17.site1"", ""kpi"": ""rf_channelUtilization_5GHz"", ""site"": ""RAW_site1"", ""value"": 0.0}",2019-01-17T06:26:21.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP11-12.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 0.0}",2019-01-17T06:26:20.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP11-12.site1"", ""kpi"": ""rf_channelUtilization_5GHz"", ""site"": ""RAW_site1"", ""value"": 0.0}",2019-01-17T06:26:20.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP12-19.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 15.0}",2019-01-17T06:26:20.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP15-16.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 14.0}",2019-01-17T06:26:20.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP16-12.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 0.0}",2019-01-17T06:26:20.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP15-09.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 50.0}",2019-01-17T06:26:19.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP10-10.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:19.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
