"_raw","_time",host,source,sourcetype,index
"{""category"": {""value"": ""Security"", ""ordinal"": 8}, ""deviceName"": ""AP ap03-fl4.mxp, Interface 802.11a/n/ac"", ""source"": ""LradIf!58:ac:78:9b:df:90!1"", ""severity"": ""CRITICAL"", ""condition"": {""value"": ""SI_SECURITY_TRAPS"", ""ordinal"": -1}, ""alarmFoundAt"": 1547722009952, ""alarmId"": 2924748691, ""nttyaddrss7_address"": "" 10. 36.  0.240"", ""@id"": 2924748691, ""message"": ""Security-risk Interferer 'WiFi Inverted' is detected by 'ap03-fl4.mxp'.Interferer severity is '0'."", ""acknowledgementStatus"": false, ""timeStamp"": 1547722009952, ""wirelessSpecificAlarmId"": ""10.36.0.240_2_3c:"", ""lastUpdatedAt"": 1547722009952, ""@displayName"": ""2924748691""}","2019-01-17T05:47:16.000+0500",mipagent.localdomain,"rest://PRIME_CriticalAlarmsDivided
LradIf!58:ac:78:9b:df:90!1",PRIME_Alarms,raw_global
"{""category"": {""value"": ""Security"", ""ordinal"": 8}, ""deviceName"": ""WLAN Controller wlc01.sin2/10.67.0.240"", ""source"": ""10.67.0.240"", ""severity"": ""CRITICAL"", ""condition"": {""value"": ""SIGNATURE_ATTACK"", ""ordinal"": -1}, ""alarmFoundAt"": 1547721961439, ""alarmId"": 2924748662, ""nttyaddrss7_address"": "" 10. 67.  0.240"", ""@id"": 2924748662, ""message"": ""IDS 'NULL probe resp 1' Signature attack detected on AP 'ap02-fl35.hkg' protocol '802.11b/g' on Controller '10.67.0.240'. The Signature description is 'NULL Probe Response - Zero length SSID element', with precedence '2'. The attacker's mac address is '04:32:f4:1e:d6:60', channel number is '1', and the number of detections is '1'."", ""acknowledgementStatus"": false, ""timeStamp"": 1547721961439, ""wirelessSpecificAlarmId"": ""SignatureStandard"", ""lastUpdatedAt"": 1547721961439, ""@displayName"": ""2924748662""}","2019-01-17T05:47:16.000+0500",mipagent.localdomain,"rest://PRIME_CriticalAlarmsDivided
10.67.0.240",PRIME_Alarms,raw_global
"{""category"": {""value"": ""Security"", ""ordinal"": 8}, ""deviceName"": ""AP ap01-fl7.mxp, Interface 802.11a/n/ac"", ""source"": ""LradIf!00:27:e3:67:00:40!1"", ""severity"": ""CRITICAL"", ""condition"": {""value"": ""SI_SECURITY_TRAPS"", ""ordinal"": -1}, ""alarmFoundAt"": 1547721949902, ""alarmId"": 2924748653, ""nttyaddrss7_address"": "" 10. 36.  0.240"", ""@id"": 2924748653, ""message"": ""Security-risk Interferer 'WiFi Inverted' is detected by 'ap01-fl7.mxp'.Interferer severity is '2'."", ""acknowledgementStatus"": false, ""timeStamp"": 1547721949902, ""wirelessSpecificAlarmId"": ""10.36.0.240_2_3c:"", ""lastUpdatedAt"": 1547721949902, ""@displayName"": ""2924748653""}","2019-01-17T05:47:16.000+0500",mipagent.localdomain,"rest://PRIME_CriticalAlarmsDivided
LradIf!00:27:e3:67:00:40!1",PRIME_Alarms,raw_global
"{""category"": {""value"": ""Security"", ""ordinal"": 8}, ""deviceName"": ""WLAN Controller wlc02.nrt/10.64.249.241"", ""source"": ""10.64.249.241"", ""severity"": ""CRITICAL"", ""condition"": {""value"": ""SIGNATURE_ATTACK"", ""ordinal"": -1}, ""alarmFoundAt"": 1547721851771, ""alarmId"": 2924748576, ""nttyaddrss7_address"": "" 10. 64.249.241"", ""@id"": 2924748576, ""message"": ""IDS 'NULL probe resp 1' Signature attack detected on AP 'ap02-fl12.sel' protocol '802.11b/g' on Controller '10.64.249.241'. The Signature description is 'NULL Probe Response - Zero length SSID element', with precedence '2'. The attacker's mac address is '04:32:f4:3f:94:a3', channel number is '1', and the number of detections is '1'."", ""acknowledgementStatus"": false, ""timeStamp"": 1547721851771, ""wirelessSpecificAlarmId"": ""SignatureStandard"", ""lastUpdatedAt"": 1547721851771, ""@displayName"": ""2924748576""}","2019-01-17T05:47:16.000+0500",mipagent.localdomain,"rest://PRIME_CriticalAlarmsDivided
10.64.249.241",PRIME_Alarms,raw_global
"{""category"": {""value"": ""Security"", ""ordinal"": 8}, ""deviceName"": ""AP AP03.igx, Interface 802.11b/g/n"", ""source"": ""LradIf!00:f6:63:28:13:e0!0"", ""severity"": ""CRITICAL"", ""condition"": {""value"": ""SI_SECURITY_TRAPS"", ""ordinal"": -1}, ""alarmFoundAt"": 1547721590139, ""alarmId"": 2924748364, ""nttyaddrss7_address"": "" 10. 11.220.240"", ""@id"": 2924748364, ""message"": ""Security-risk Interferer 'WiFi Invalid Channel' is detected by 'AP03.igx'.Interferer severity is '0'."", ""acknowledgementStatus"": false, ""timeStamp"": 1547721590139, ""wirelessSpecificAlarmId"": ""10.11.220.240_1_9"", ""lastUpdatedAt"": 1547721590139, ""@displayName"": ""2924748364""}","2019-01-17T05:47:16.000+0500",mipagent.localdomain,"rest://PRIME_CriticalAlarmsDivided
LradIf!00:f6:63:28:13:e0!0",PRIME_Alarms,raw_global
"{""category"": {""value"": ""Security"", ""ordinal"": 8}, ""deviceName"": ""AP ap05-fl6.arn, Interface 802.11a/n/ac"", ""source"": ""LradIf!00:a2:ee:d6:86:60!1"", ""severity"": ""CRITICAL"", ""condition"": {""value"": ""SI_SECURITY_TRAPS"", ""ordinal"": -1}, ""alarmFoundAt"": 1547721484034, ""alarmId"": 2924748293, ""nttyaddrss7_address"": "" 10. 36.  0.240"", ""@id"": 2924748293, ""message"": ""Security-risk Interferer 'WiFi Inverted' is detected by 'ap05-fl6.arn'.Interferer severity is '4'."", ""acknowledgementStatus"": false, ""timeStamp"": 1547721484034, ""wirelessSpecificAlarmId"": ""10.36.0.240_2_3c:"", ""lastUpdatedAt"": 1547722002012, ""@displayName"": ""2924748293""}","2019-01-17T05:47:16.000+0500",mipagent.localdomain,"rest://PRIME_CriticalAlarmsDivided
LradIf!00:a2:ee:d6:86:60!1",PRIME_Alarms,raw_global
"{""category"": {""value"": ""Security"", ""ordinal"": 8}, ""deviceName"": ""AP ap07-fl8.cdg, Interface 802.11a/b/g/n/ac"", ""source"": ""LradIf!00:b7:71:51:4e:20!0"", ""severity"": ""CRITICAL"", ""condition"": {""value"": ""SI_SECURITY_TRAPS"", ""ordinal"": -1}, ""alarmFoundAt"": 1547721352897, ""alarmId"": 2924748178, ""nttyaddrss7_address"": "" 10. 36.  0.240"", ""@id"": 2924748178, ""message"": ""Security-risk Interferer 'WiFi Inverted' is detected by 'ap07-fl8.cdg'.Interferer severity is '0'."", ""acknowledgementStatus"": false, ""timeStamp"": 1547721352897, ""wirelessSpecificAlarmId"": ""10.36.0.240_0_3c:"", ""lastUpdatedAt"": 1547721661323, ""@displayName"": ""2924748178""}","2019-01-17T05:47:16.000+0500",mipagent.localdomain,"rest://PRIME_CriticalAlarmsDivided
LradIf!00:b7:71:51:4e:20!0",PRIME_Alarms,raw_global
"{""category"": {""value"": ""Security"", ""ordinal"": 8}, ""deviceName"": ""WLAN Controller wlc01.pnq2/10.74.4.240"", ""source"": ""10.74.4.240"", ""severity"": ""CRITICAL"", ""condition"": {""value"": ""SIGNATURE_ATTACK"", ""ordinal"": -1}, ""alarmFoundAt"": 1547721151764, ""alarmId"": 2924747978, ""nttyaddrss7_address"": "" 10. 74.  4.240"", ""@id"": 2924747978, ""message"": ""IDS 'Auth flood' Signature attack detected on AP 'ap03-fl5.pnq' protocol '802.11b/g' on Controller '10.74.4.240'. The Signature description is 'Authentication Request flood', with precedence '5'. The attacker's mac address is '08:25:25:32:19:5f', channel number is '11', and the number of detections is '300'."", ""acknowledgementStatus"": false, ""timeStamp"": 1547721151764, ""wirelessSpecificAlarmId"": ""SignatureStandard"", ""lastUpdatedAt"": 1547721151764, ""@displayName"": ""2924747978""}","2019-01-17T05:47:16.000+0500",mipagent.localdomain,"rest://PRIME_CriticalAlarmsDivided
10.74.4.240",PRIME_Alarms,raw_global
"{""category"": {""value"": ""Security"", ""ordinal"": 8}, ""deviceName"": ""AP ap08-fl1.wat, Interface 802.11a/n/ac"", ""source"": ""LradIf!74:a2:e6:ab:c3:b0!1"", ""severity"": ""CRITICAL"", ""condition"": {""value"": ""SI_SECURITY_TRAPS"", ""ordinal"": -1}, ""alarmFoundAt"": 1547721121420, ""alarmId"": 2924747957, ""nttyaddrss7_address"": "" 10. 36.  0.240"", ""@id"": 2924747957, ""message"": ""Security-risk Interferer 'WiFi Inverted' is detected by 'ap08-fl1.wat'.Interferer severity is '6'."", ""acknowledgementStatus"": false, ""timeStamp"": 1547721121420, ""wirelessSpecificAlarmId"": ""10.36.0.240_2_3c:"", ""lastUpdatedAt"": 1547721898190, ""@displayName"": ""2924747957""}","2019-01-17T05:47:16.000+0500",mipagent.localdomain,"rest://PRIME_CriticalAlarmsDivided
LradIf!74:a2:e6:ab:c3:b0!1",PRIME_Alarms,raw_global
"{""category"": {""value"": ""Security"", ""ordinal"": 8}, ""deviceName"": ""WLAN Controller wlc01.pek2/10.72.1.240"", ""source"": ""10.72.1.240"", ""severity"": ""CRITICAL"", ""condition"": {""value"": ""SIGNATURE_ATTACK"", ""ordinal"": -1}, ""alarmFoundAt"": 1547721021580, ""alarmId"": 2924747884, ""nttyaddrss7_address"": "" 10. 72.  1.240"", ""@id"": 2924747884, ""message"": ""IDS 'Auth flood' Signature attack detected on AP 'ap02-fl28.szx' protocol '802.11a' on Controller '10.72.1.240'. The Signature description is 'Authentication Request flood', with precedence '5'. The attacker's mac address is '44:04:44:7a:7f:08', channel number is '36', and the number of detections is '300'."", ""acknowledgementStatus"": false, ""timeStamp"": 1547721021580, ""wirelessSpecificAlarmId"": ""SignatureStandard"", ""lastUpdatedAt"": 1547721021580, ""@displayName"": ""2924747884""}","2019-01-17T05:47:16.000+0500",mipagent.localdomain,"rest://PRIME_CriticalAlarmsDivided
10.72.1.240",PRIME_Alarms,raw_global
